"","source","KABB--07-25-2017-20-58-00.txt","KABB--07-25-2017-21-28-00.txt","KAEF--07-25-2017-17-58-00.txt","KAEF--07-25-2017-22-58-00.txt","KATU--07-25-2017-17-58-00.txt","KATU--07-25-2017-18-28-00.txt","KATV--07-25-2017-16-58-00.txt","KATV--07-25-2017-17-58-00.txt","KBAK--07-25-2017-16-58-00.txt","KBAK--07-25-2017-17-28-00.txt","KBFX--07-25-2017-21-58-00.txt","KBFX--07-25-2017-22-28-00.txt","KBOI--07-25-2017-15-58-00.txt","KBOI--07-25-2017-21-58-00.txt","KBTV--07-25-2017-21-28-00.txt","KBVU--07-25-2017-21-58-00.txt","KCVU--07-25-2017-21-58-00.txt","KDBC--07-25-2017-21-58-00.txt","KDBC--07-25-2017-22-28-00.txt","KDSM--07-25-2017-20-58-00.txt","KDSM--07-25-2017-21-28-00.txt","KECI--07-25-2017-16-58-00.txt","KECI--07-25-2017-17-58-00.txt","KEPR--07-25-2017-17-58-00.txt","KEPR--07-25-2017-22-58-00.txt","KEYE--07-25-2017-18-28-00.txt","KEYE--07-25-2017-21-58-00.txt","KFDM--07-25-2017-16-58-00.txt","KFDM--07-25-2017-21-58-00.txt","KFOX--07-25-2017-20-58-00.txt","KFOX--07-25-2017-21-28-00.txt","KFXA--07-25-2017-20-58-00.txt","KFXA--07-25-2017-21-28-00.txt","KFXL--07-25-2017-20-58-00.txt","KGAN--07-25-2017-17-58-00.txt","KGAN--07-25-2017-21-58-00.txt","KGBT--07-25-2017-17-58-00.txt","KGBT--07-25-2017-21-58-00.txt","KHQA--07-25-2017-17-58-00.txt","KHQA--07-25-2017-21-58-00.txt","KMEG--07-25-2017-16-58-00.txt","KMEG--07-25-2017-21-58-00.txt","KMPH--07-25-2017-21-58-00.txt","KMPH--07-25-2017-22-28-00.txt","KMTR--07-25-2017-18-28-00.txt","KMTR--07-25-2017-22-58-00.txt","KODE--07-25-2017-16-58-00.txt","KOKH--07-25-2017-20-58-00.txt","KOKH--07-25-2017-21-28-00.txt","KOMO--07-25-2017-16-28-00.txt"
"822","its",NA,NA,NA,"its",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"its",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"823","been",NA,NA,NA,"been",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"been",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"824","nearly",NA,NA,NA,"nearly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nearly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"825","two",NA,NA,NA,"two",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"two",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826","months",NA,NA,NA,"months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827","since",NA,NA,NA,"since",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"since",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"828","the",NA,NA,NA,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"829","trump",NA,NA,NA,"trump",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trump",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"830","withdrew",NA,NA,NA,"withdrew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"withdrew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"831","from",NA,NA,NA,"from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"832","the",NA,NA,NA,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"833","agreement",NA,NA,NA,"agreement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agreement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"834","i",NA,NA,NA,"i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"835","was",NA,NA,NA,"was",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"was",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"836","elected",NA,NA,NA,"elected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"elected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"837","to",NA,NA,NA,"to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"838","represent",NA,NA,NA,"represent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"839","the",NA,NA,NA,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"840","citizens",NA,NA,NA,"citizens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"841","of",NA,NA,NA,"of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"842","not",NA,NA,NA,"not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"843","trump",NA,NA,NA,"trump",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trump",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"844","saying",NA,NA,NA,"saying",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"saying",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"845","he",NA,NA,NA,"he",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"he",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"846","the",NA,NA,NA,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"847","needs",NA,NA,NA,"needs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"needs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"848","to",NA,NA,NA,"to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"849","be",NA,NA,NA,"be",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"be",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"850","revised",NA,NA,NA,"revised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"revised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"851","better",NA,NA,NA,"better",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"better",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"852","suite",NA,NA,NA,"suite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"suite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"853","the",NA,NA,NA,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"854","us",NA,NA,NA,"us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"855","before",NA,NA,NA,"before",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"before",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"856","he",NA,NA,NA,"he",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"he",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"857","agrees",NA,NA,NA,"agrees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agrees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"858","to",NA,NA,NA,"to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"859","rejoin",NA,NA,NA,"rejoin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rejoin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"860","but",NA,NA,NA,"but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"861","some",NA,NA,NA,"some",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"some",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"862","local",NA,NA,NA,"local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"863","are",NA,NA,NA,"are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"864","pledging",NA,NA,NA,"pledging",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pledging",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"865","their",NA,NA,NA,"their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"866","support",NA,NA,NA,"support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"867","of",NA,NA,NA,"of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"868","the",NA,NA,NA,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"869","agreement",NA,NA,NA,"agreement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agreement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"870","including",NA,NA,NA,"including",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"including",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"871","arcata",NA,NA,NA,"arcata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"arcata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"872","i",NA,NA,NA,"i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"873","think",NA,NA,NA,"think",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"think",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"874","what",NA,NA,NA,"what",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"what",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"875","well",NA,NA,NA,"well",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"well",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"876","see",NA,NA,NA,"see",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"see",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"877","and",NA,NA,NA,"and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"878","what",NA,NA,NA,"what",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"what",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"879","already",NA,NA,NA,"already",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"already",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"880","seen",NA,NA,NA,"seen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"881","is",NA,NA,NA,"is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"882","that",NA,NA,NA,"that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"883","more",NA,NA,NA,"more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"884","and",NA,NA,NA,"and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"885","more",NA,NA,NA,"more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"886","people",NA,NA,NA,"people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"887","will",NA,NA,NA,"will",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"will",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"888","be",NA,NA,NA,"be",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"be",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"889","getting",NA,NA,NA,"getting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"getting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"890","involved",NA,NA,NA,"involved",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"involved",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"891","on",NA,NA,NA,"on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"892","the",NA,NA,NA,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"893","local",NA,NA,NA,"local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"894","level",NA,NA,NA,"level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"895","vice",NA,NA,NA,"vice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"896","mayor",NA,NA,NA,"mayor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mayor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"897","sofia",NA,NA,NA,"sofia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sofia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"898","talking",NA,NA,NA,"talking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"899","about",NA,NA,NA,"about",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"about",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"900","the",NA,NA,NA,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"901","cites",NA,NA,NA,"cites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"902","decision",NA,NA,NA,"decision",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"decision",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"903","to",NA,NA,NA,"to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
